Name,DataSourceID,Description,Exposed
Service Category,/CCAT/SICAT,Contains all parameters and values of service categories.,No
Service Category Catalog,/CCAT/SICTG,"Contains parameters and values of a service category catalogue. It allows you to analyze version, status and validity and is used to calculate category usage in service processes.",No
Document Output History (To be deprecated),/DOC/OMDORB01,This report will be deprecated in the future releases. Please use the new report Manage Document Output History instead.,No
Manage Document Output History,/DOC/OMDORB02,"Provides the output history information, including the business document context, output channel, output status, error and system administrative information.",No
Coding Block Extension Fields,/ISCB/COBLEXTMDB,Coding Block Extension Fields,No
Incidents Analysis,/ITSAM/SAPSRB,"Shows data about incidents, including creation, processing, and completion data along with status information.",No
SAP Service Delivery and Service Tasks,/ITSAM/SVCB,Shows data about SAP service delivery and service task.,No
Company Master Data,/MOM/COMPANY,"Provides company master data, including the company name, ID, and manager.",No
Cost Center Master Data,/MOM/COSTCTR,"Provides cost center master data, including the cost center name, ID, manager, country, and information about whether or not financial postings are allowed.",No
Functional Unit Master Data,/MOM/FUNCUNIT,"Provides functional unit master data, including the functional unit name, ID, and manager.",No
Job Master Data,/MOM/JOB,"Provides job master data, including the job name and ID.",No
Org Unit Master Data,/MOM/ORGCENTRE,"Provides org unit master data, including the org unit name and ID, and information about whether it was created based on a business partner or represents a business partner.",No
Business Residence Master Data,/MOM/PERMEST,"Provides business residence master data, including the business residence name, ID, and location.",No
Position Master Data,/MOM/POSITION,"Provides position master data, including the position name, ID, associated cost center, associated profit center, and associated reporting line unit.",No
Profit Center Master Data,/MOM/PROFITCTR,"Provides profit center master data, including the profit center name, ID, manager, and information about whether or not financial postings are allowed.",No
Program Master Data,/MOM/PROGRAMME,"Provides program master data, including the program name, ID, and manager.",No
Reporting Line Unit Master Data,/MOM/RLINEUNIT,"Provides reporting line unit master data, including the reporting line unit name, ID, and manager.",No
Segment Master Data,/MOM/SEGMENT,"Provides segment master data, including the segment name, ID, and manager.",No
Account Hierarchies,ACCOUNT_HIERARCHY,"Provides an overview of account hierarchy data, including hierarchy ID and name.",No
Account Hierarchies (External Data Replication),ACCOUNT_HIERARCHY_001,"Provides an overview of account hierarchy data, including hierarchy ID and name.
It also gives you the possibitliy to structure according to the hierarchy. Moreover, it contains the references to the accounts belonging to a certain hierarchy level.",No
Address Snapshot Data,ADDRESS_SNAPSHOT,"Provides address snapshot data, including the name, country and other address data, as well as communication data.",No
Deleted Data (ODP Integration),ANAODPDELV,Contains details that can be used to delete records from target systems connected through ODP integration.,No
Business Partner Master Data,BPARTNER,"Provides business partner master data, including the business partner name and ID, country and other address data, information that is specific to a business partner person or organization, and system administrative information.
",No
Business Partner Master Data for ILM,BPARTNER_ILM,"Provides business partner master data with status information for ILM
",No
Contact Master Data,BPCONTB,"Provides contact master data, including the contact name and ID, Academic Title, Date of Birth, Gender, Marital Status, and Profession.",No
Account Collaboration Data,BPCSCARB,"Provides the collaboration data of an account, including the business document name and the output channel along with data of the related account, such as the account ID, name, and address. 

",No
Account Contact Data,BPCSCONTB,"Provides the contacts of a corporate account, including the contact address information and other contact-specific data along with data of the related account, such as the account ID, name, and address.",No
Account Contact Data (with not used communication data),BPCSCONTB_2,"Provides the contacts of a corporate account, including the contact address information and other contact-specific data along with data of the related account, such as the account ID, name, and address. It also contains communication data (email,telephone ...) that is marked as invalid.",No
Business Partner Master Data - script dependent,BPARTNER_SCRIPT,"Provides script dependent business partner master data, including the business partner name and ID, country and other postal address data, information that is specific to a business partner person or organization. This data source is meant to be used to create joined data sources for reporting script dependent name and postal address data.
",No
Account Financial Data,BPCSFINB,"Provides the financial data of an account, including the bank data, payment data, and tax data along with data of the related account, such as the account ID, name, and address.",No
Account Responsibility Data,BPCSRSPB,"Provides the employees directly responsible for an account, including the employee ID, name, address, and the party role along with data of the related account, such as the account ID, name, and address.",No
Account Details,BPCSDB,"Provides an overview of account master data, including the account name and ID and the address data along with information that is required in the sales process, such as the sales organization ID and name, the distribution channel, the delivery priority, the payment terms, the currency, and the Incoterms. In addition, the report also shows financial data, such as bank, credit card, and tax data.
",No
Supplier Product Category Lifecycle,BPSP_PRD_CAT_LIFE,"Provides details of supplier product category lifecycle data, such as product category, enagement status, market segementation and validity periods.",No
Approval Task Details,BTMAPPV01,Provides information about an approval task,No
Employee Master Data without Human Resources,BUPAEMPB,"Provides information on Employees, Service Agents and their assigned Organizational Unit, Company, Cost Center, Reporting Line Unit, Job, Manager and User Details, without reference to Work Agreements. You should use it when Personnel Administration is not scoped.",No
Business Partner Identification,BUPAIDENTIFICATIONB01,"Provides identifications of persons (like internal ID, employee ID, etc) in context of GDPR disclosure requirement.",No
Business Partner Person Disclosure,BUPAPERSONDISCLOSUREB01,"Provides business partner master data for persons, containing all data relevant for data disclosure in context of GDPR requirement.",No
Business Partner Relationship,BUPAREL,,No
Supplier Collaboration Data,BUPASUPPLIERCOLLB01,"Provides the collaboration data of a supplier, including data of the related supplier, such as the account ID, name, and address. 
",No
Business Partner - Account,BUS_PARTNER,Business Partner,No
Business Partner Hierarchy,BUS_PARTNER_HIERARCHY,Business Partner Hierarchy,No
Business Partner - Supplier,BUS_PARTNER_SUPPLIER,,No
Forecasting Group Master Data,CATDP,"Provides forecasting group master data, including identification and description data.
",No
User - Current Status Details,CCAB01,"Provides data about the current status of users, including assigned work center, work center views, validity dates, and whether the user is inactive. 
",No
User - Activation Change Documents,CCAB02,"Provides data about the activation change documents for users, including technical ID, whether the user is a technical user or locked, and validity dates.",No
User - Access Rights Change Documents,CCAB03,"Provides data about the access rights change documents for users, including changes to the assignment of work centers, work center views, and access rights. 
",No
Identity,CCAIDNTYB,Provides all the attributes of user.,No
Identity,CCAIDNTYB_SOL,Provides all the attributes of user.,No
Knowledge Transfer Learning Data,CCAKTPU01,"Provides data about which learning modules employees have passed. 
",No
Segregation of Duty Conflicts,CCARSODCONFLICTS,Shows the segregation of duty conflicts between the work center views assigned to the user.,No
Report Assignment Details,CCARURV01,"Shows the history of the assignment of reports to work centers, including change data, assignment details, and whether access to reports is restricted.",No
User Logon Details,CCARUSRLOG,Shows all the logon information for a user.,No
Clearing House Master Data,CLRHOUSE,"Provides clearing house master data, including the clearing house name and ID, country and other address data, and system administrative information.
",No
Customer Consignment Report,CONSGTU01,"Provides a comprehensive view of the customer consignment quantities, which are open for fill-up, delivered, open for invoicing, invoiced, returned, etc.",No
All Activities,CRMACTU,Contains all types of activities. It allows you to analyze number and usage of all six activity types.,No
Appointment,CRMAPAHB,Contains all appointments. It allows you to analyze the usage of activities by type appointment.,No
Customer Contract Header,CRMCCOHB,Contains data on the customer contracts.,No
Customer Contract Item,CRMCCOIB,Contains data on the customer contract items.,No
